"รหัสสถานี","เขต","สถานี","วัน-เวลา","ฝน 5 นาที","ฝน 15 นาที","ฝน 30 นาที","ฝน 1 ชม.","ฝน 3 ชม.","ฝน 6 ชม.","ฝน 12 ชม.","ฝน 24 ชม.","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 08:25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 08:30","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 08:35","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 08:40","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 08:45","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 08:50","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 08:55","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 09:00","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 09:05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 09:10","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 09:15","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 09:20","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 09:25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 09:30","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 09:35","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 09:40","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 09:45","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 09:50","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 09:55","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 10:00","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 10:05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 10:10","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 10:15","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 10:20","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 10:25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 10:30","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 10:35","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 10:40","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 10:45","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 10:50","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 10:55","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 11:00","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 11:05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 11:10","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 11:15","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 11:20","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 11:25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 11:30","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 11:35","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 11:40","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 11:45","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 11:50","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 11:55","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 12:00","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 12:05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 12:10","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 12:15","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 12:20","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 12:25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 12:30","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 12:35","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","ดูข้อมูล"
