Location Description,Node Id,Sample Time,Onboard Temperature, Onboard Battery,Channel,Sensor Model,Sensor Type,Offset,Value,Units,
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 4:15,25.32,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.32,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 4:30,25.16,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.16,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 4:45,25.64,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.64,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 5:00,25.32,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.32,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 5:15,25.16,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.16,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 5:30,25.48,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.48,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 5:45,25.32,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.32,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 6:00,25.16,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.16,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 6:15,25.32,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.32,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 6:30,25.32,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.32,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 6:45,25.64,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.64,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 7:00,25.64,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.64,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 7:15,25.79,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.79,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 7:30,26.11,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,26.11,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 7:45,26.59,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,26.59,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 8:00,25.95,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.95,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 8:15,27.07,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,27.07,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 8:29,27.86,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,27.86,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 8:45,28.5,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,28.5,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 9:00,29.29,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,29.29,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 9:15,29.29,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,29.29,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/28/2025 9:30,30.72,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,30.72,ýýc,0
